Episode,Reward,Accumulated Reward,Average Reward,Loss
238,10,2296,9.647058823529411,0.014429758302867413
239,10,2306,9.648535564853557,1.5312691175495274e-05
240,10,2316,9.65,1.194111246149987e-05
241,10,2326,9.651452282157676,9.22082836041227e-06
242,10,2336,9.652892561983471,7.037404429866001e-06
243,10,2346,9.654320987654321,5.302088538883254e-06
244,10,2356,9.655737704918034,3.92901711165905e-06
245,10,2366,9.657142857142857,2.8572987957886653e-06
246,10,2376,9.658536585365853,2.027383743552491e-06
247,10,2386,9.65991902834008,1.3948692867415957e-06
248,9,2395,9.65725806451613,48.86845397949219
249,10,2405,9.65863453815261,0.00010687720350688323
250,10,2415,9.66,0.0003501494647935033
251,10,2425,9.661354581673306,0.0006874473765492439
252,10,2435,9.662698412698413,0.0010845287470147014
253,10,2445,9.66403162055336,0.001514637959189713
254,10,2455,9.665354330708661,0.0019571236334741116
255,10,2465,9.666666666666666,0.027109138667583466
256,10,2475,9.66796875,0.002806438133120537
257,10,2485,9.669260700389104,0.0031928373500704765
258,10,2495,9.670542635658915,0.0035500116646289825
259,10,2505,9.671814671814673,0.003874607617035508
260,10,2515,9.673076923076923,0.00416472228243947
261,10,2525,9.67432950191571,0.004419509321451187
262,10,2535,9.67557251908397,0.004639160353690386
263,10,2545,9.67680608365019,0.004824589006602764
264,10,2555,9.678030303030303,0.004977148491889238
265,10,2565,9.679245283018869,0.0050984518602490425
266,10,2575,9.680451127819548,0.005190466996282339
267,10,2585,9.681647940074907,0.0052553280256688595
268,10,2595,9.682835820895523,0.005295078735798597
269,10,2605,9.684014869888475,0.005311999935656786
270,10,2615,9.685185185185185,0.005308147985488176
271,10,2625,9.686346863468634,0.005285706836730242
272,10,2635,9.6875,0.005246470216661692
273,10,2645,9.688644688644688,0.0051925303414464
274,10,2655,9.68978102189781,0.005125615280121565
275,10,2665,9.690909090909091,0.005047470331192017
276,10,2675,9.692028985507246,0.004959528334438801
277,10,2685,9.693140794223826,0.004863216541707516
278,10,2695,9.694244604316546,0.004760019946843386
279,10,2705,9.695340501792115,0.004651018884032965
280,10,2715,9.696428571428571,0.004537418019026518
281,10,2725,9.697508896797153,0.004420022014528513
282,10,2735,9.698581560283689,0.004299975465983152
283,10,2745,9.69964664310954,0.0041778795421123505
284,10,2755,9.700704225352112,0.004054526332765818
285,10,2765,9.701754385964913,0.003930605016648769
286,10,2775,9.702797202797203,0.0038066364359110594
287,10,2785,9.703832752613241,0.0036831835750490427
288,10,2795,9.70486111111111,0.003560583107173443
289,10,2805,9.705882352941176,0.0034392178058624268
290,10,2815,9.706896551724139,0.00331951305270195
291,10,2825,9.707903780068728,0.003201679326593876
292,10,2835,9.70890410958904,0.003085913835093379
293,10,2845,9.709897610921502,0.0029725199565291405
294,10,2855,9.710884353741497,0.002861601999029517
295,10,2865,9.711864406779661,0.0027533129323273897
296,10,2875,9.712837837837839,0.0026477929204702377
297,10,2885,9.713804713804715,0.0025450007524341345
298,10,2895,9.71476510067114,0.0024451150093227625
299,10,2905,9.715719063545151,0.002348189242184162
300,10,2915,9.716666666666667,0.0022541123908013105
301,10,2925,9.717607973421927,0.0021630339324474335
302,10,2935,9.718543046357615,0.0020748369861394167
303,10,2945,9.71947194719472,0.001989556010812521
304,10,2955,9.720394736842104,0.001907218829728663
305,10,2965,9.721311475409836,0.0018277042545378208
306,10,2975,9.722222222222221,0.0017509883036836982
307,10,2985,9.723127035830618,0.0016770443180575967
308,10,2995,9.724025974025974,0.0016057986067607999
309,10,3005,9.724919093851133,0.0015372216003015637
310,10,3015,9.725806451612904,0.0014711968833580613
311,10,3025,9.72668810289389,0.0014077365631237626
312,10,3035,9.727564102564102,0.0013466854579746723
313,10,3045,9.728434504792332,0.001288054627366364
314,10,3055,9.729299363057326,0.0012317332439124584
315,10,3065,9.73015873015873,0.0011776910396292806
316,10,3075,9.731012658227849,0.0011257845908403397
317,10,3085,9.731861198738171,0.00107602309435606
318,10,3095,9.732704402515724,0.0010282689472660422
319,10,3105,9.733542319749215,0.0009824959561228752
320,10,3115,9.734375,0.0009386420133523643
321,10,3125,9.735202492211839,0.0008966134046204388
322,10,3135,9.736024844720497,0.0008563529117964208
323,10,3145,9.736842105263158,0.0008178043062798679
324,10,3155,9.737654320987655,0.0007808816735632718
325,10,3165,9.738461538461538,0.0007455635350197554
326,10,3175,9.739263803680982,0.0007117381901480258
327,10,3185,9.740061162079511,0.000679386779665947
328,10,3195,9.740853658536585,0.000648432585876435
329,10,3205,9.74164133738602,0.0006188573897816241
330,10,3215,9.742424242424242,0.0005905343568883836
331,10,3225,9.743202416918429,0.0005634757690131664
332,10,3235,9.743975903614459,0.000537613348569721
333,10,3245,9.744744744744745,0.0005128819611854851
334,10,3255,9.745508982035927,0.000489268742967397
335,10,3265,9.746268656716419,0.00046668757568113506
336,10,3275,9.74702380952381,0.00044510443694889545
337,10,3285,9.747774480712167,0.00042450858745723963
338,10,3295,9.748520710059172,0.00040482147596776485
339,10,3305,9.749262536873156,0.0003860343713313341
340,10,3315,9.75,0.00036809497396461666
341,10,3325,9.750733137829911,0.0003509535454213619
342,10,3335,9.751461988304094,0.0003345833392813802
343,10,3345,9.752186588921283,0.00031897766166366637
344,10,3355,9.752906976744185,0.00030407102894969285
345,10,3365,9.753623188405797,0.00028983972151763737
346,10,3375,9.754335260115607,0.0002762605145107955
347,10,3385,9.755043227665706,0.00026329292450100183
348,10,3395,9.755747126436782,0.0002509334881324321
349,10,3405,9.756446991404012,0.00023914357007015496
350,10,3415,9.757142857142858,0.00022788660135120153
351,10,3425,9.757834757834758,0.00021714433387387544
352,10,3435,9.758522727272727,0.00020689894154202193
353,10,3445,9.759206798866856,0.0001971329766092822
354,10,3455,9.759887005649718,0.00018781433755066246
355,10,3465,9.76056338028169,0.00017892745381686836
356,10,3475,9.76123595505618,0.00017045717686414719
357,10,3485,9.761904761904763,0.00016237465024460107
358,10,3495,9.762569832402235,0.00015466641343664378
359,10,3505,9.763231197771587,0.0001473193260608241
360,10,3515,9.76388888888889,0.00014032053877599537
361,10,3525,9.76454293628809,0.00013364478945732117
362,10,3535,9.765193370165745,0.00012728078581858426
363,10,3545,9.765840220385675,0.00012121745385229588
364,10,3555,9.766483516483516,0.00011543221626197919
365,10,3565,9.767123287671232,0.0001099153669201769
366,10,3575,9.76775956284153,0.0001046687611960806
367,10,3585,9.768392370572206,9.966035577235743e-05
368,10,3595,9.769021739130435,9.488197247264907e-05
369,10,3605,9.769647696476964,9.033605601871386e-05
370,10,3615,9.77027027027027,8.600383443990722e-05
371,10,3625,9.77088948787062,8.187766798073426e-05
